일자,계(명),서울,부산,대구,대전,경기
2022-02-13,"36,366","11,818","3,441","2,573","1,495","17,039"
2022-02-14,"35,127","11,527","3,520","2,606","1,613","15,861"
2022-02-15,"36,698","12,438","3,085","2,362","1,576","17,237"
2022-02-16,"60,087","18,870","6,482","4,188","2,590","27,957"
2022-02-17,"61,243","19,683","6,217","4,198","2,702","28,443"
2022-02-18,"76,222","25,634","6,577","4,538","2,980","36,493"
2022-02-19,"67,595","23,177","6,534","4,223","3,032","30,629"
2022-02-20,"68,166","22,087","6,945","4,707","3,108","31,319"
2022-02-21,"61,385","20,008","7,541","4,160","2,907","26,769"
2022-02-22,"64,479","21,787","6,140","4,158","2,848","29,546"
2022-02-23,"118,174","41,455","12,814","6,306","4,078","53,521"
2022-02-24,"111,953","37,157","11,832","7,148","4,504","51,312"
2022-02-25,"107,082","35,581","12,734","6,290","4,406","48,071"
2022-02-26,"109,228","36,821","13,013","6,990","4,266","48,138"
2022-02-27,"106,002","35,337","13,667","6,157","4,048","46,793"
2022-02-28,"87,342","27,967","12,617","5,825","3,683","37,250"
2022-03-01,"87,336","27,877","11,204","5,382","3,674","39,199"
2022-03-02,"144,034","46,924","16,098","7,116","5,287","68,609"
2022-03-03,"123,008","43,667","14,257","8,080","5,067","51,937"
2022-03-04,"174,624","59,256","23,201","9,494","5,957","76,716"
2022-03-05,"160,491","53,179","21,821","9,563","5,692","70,236"
2022-03-06,"157,547","49,438","26,197","8,895","6,189","66,828"
2022-03-07,"130,641","39,546","26,443","7,789","5,760","51,103"
2022-03-08,"122,704","37,472","19,322","7,585","5,609","52,716"
2022-03-09,"222,899","74,215","31,146","12,896","7,977","96,665"
2022-03-10,"206,023","66,842","31,567","11,600","7,884","88,130"
2022-03-11,"169,439","56,590","22,916","10,304","7,212","72,417"
2022-03-12,"242,236","80,424","31,961","13,414","8,515","107,922"
2022-03-13,"214,023","67,798","33,428","12,695","8,650","91,452"
2022-03-14,"182,642","56,785","27,753","12,406","8,290","77,408"
2022-03-15,"217,785","66,047","26,142","14,346","8,307","102,943"
2022-03-16,"240,982","81,367","39,310","16,751","8,810","94,744"
2022-03-17,"389,572","128,314","42,409","24,462","12,476","181,911"
2022-03-18,"248,395","81,971","25,471","16,012","11,329","113,612"
2022-03-19,"235,012","82,081","25,742","14,838","10,852","101,499"
2022-03-20,"198,874","65,832","19,528","13,607","11,479","88,428"
2022-03-21,"121,426","41,054","8,974","6,125","8,388","56,885"
2022-03-22,"213,141","64,997","24,694","17,354","9,871","96,225"
2022-03-23,"299,329","101,086","26,008","20,864","14,523","136,848"
2022-03-24,"230,866","77,731","18,730","15,693","11,268","107,444"
2022-03-25,"193,550","66,919","16,704","14,005","8,258","87,664"
2022-03-26,"196,509","63,997","16,354","14,211","11,198","90,749"
2022-03-27,"181,110","59,130","14,447","13,218","8,963","85,352"
